PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
29,2/2/2022,26:18.6,1,1,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,"Live Side
",73.18518,1.79097,2.445605,2849.071297,279.600339,3:15,5.20544,-3.77815,5.21055,-56.48054,-1.78347,22.18466,2.18498,0.37173,66.28001,-8.490241,6.36747,0.532296,,,,,,,,,,,,-10.16501,-0.86827,3.53489,50,5.32934,-5.37783,-105.9043,1.47293,-11.29402,21.74482,-33.13876,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,60584150-8466-11ec-adab-7968ab2d66aa,70.811,,,6.90517,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,26:18.6,2022-02-02T15:26:18.5921586-05:00,2022-02-02T20:26:18.5921586Z,,v3,,,,,,Undefined,GIT_YEL,0de66e69-3373-4805-a268-128dfe8df3d9,55.28708,-106.98436,10.87241,5.2153,3.11893,-16.56938,3.78807,-4.81686,-5.64701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
30,2/2/2022,27:07.5,1,2,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.97512,0.451596,6.887407,2388.774276,125.120088,10:15,5.05689,-3.57078,5.86037,-26.08497,12.09186,-15.48552,3.30575,1.56832,78.53053,-4.405116,4.141943,0.444704,,,,,,,,,,,,9.70123,6.41953,3.01852,50,5.07857,-14.34616,-124.07163,0.15552,15.19063,23.77012,-22.12204,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,7d8cc1b0-8466-11ec-adab-7968ab2d66aa,84.75846,,,7.44459,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,27:07.5,2022-02-02T15:27:07.5183666-05:00,2022-02-02T20:27:07.5183666Z,,v3,,,,,,Undefined,GIT_YEL,c69005df-5945-4bde-9709-66098f8c50de,54.63773,-124.95698,11.88506,5.05743,0.97948,-11.06102,3.5634,-14.91196,7.59532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
31,2/2/2022,27:31.9,1,3,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,0,1,1,Fastball,Changeup,InPlay,Undefined,LineDrive,Double,0,1,,86.89117,-0.723727,5.863702,2424.220199,123.49176,10:00,5.01212,-3.63281,5.9953,-25.09497,11.62406,-15.97619,2.24665,0.4886,80.22451,-5.391016,3.012378,0.436131,94.55402,9.843934,-25.325931,4282.431586,92.48411,12.6565,-59.55402,189.73949,,-38.198829,1.819573,9.67977,6.47611,3.17858,50,4.94083,-12.29056,-125.80298,-2.39234,15.71404,22.41781,-21.6608,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,8c1379e0-8466-11ec-adab-7968ab2d66aa,86.42457,12.74379,,6.66665,,,,0.87437,2.47152,-0.6019,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,27:31.9,2022-02-02T15:27:31.8848050-05:00,2022-02-02T20:27:31.8848050Z,LineDrive,v3,,,,,,Undefined,GIT_YEL,2fa7249b-2b62-46c1-958c-e957e30b612f,54.5056,-126.60332,11.20891,5.01244,-1.61902,-10.8304,3.62738,-12.85158,7.85702,,0.87437,123.50487,-34.68861,9.16679,-2.15046,0.45905,-0.0866,0.01197,-0.00079,2.47152,23.70934,-12.92009,-1.51354,0.9994,-0.36549,0.09904,-0.01759,0.00153,-0.6019,-58.44898,-7.3414,3.98147,-1.4524,0.44002,-0.10967,0.01918,-0.00167,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
32,2/2/2022,29:06.1,2,1,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Compton, Drew",1000036969,Right,GIT_YJF,Undefined,1,Bottom,0,0,0,ChangeUp,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,79.40836,1.571042,5.752913,1834.530933,115.582217,9:45,4.87398,-3.81324,5.8646,-34.81675,10.61697,-18.65521,3.43976,-0.00565,71.2453,-4.940386,2.431937,0.485133,,,,,,,,,,,,11.34146,5.3965,3.35641,50,4.98198,-10.81944,-114.58688,2.11538,14.84305,24.26747,-25.11141,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,c44a3150-8466-11ec-adab-7968ab2d66aa,77.6951,,,8.16306,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,29:06.1,2022-02-02T15:29:06.1389362-05:00,2022-02-02T20:29:06.1389362Z,,v3,,,,,,Undefined,GIT_YEL,cc75f893-5e35-4795-8ff7-270e27c2a020,54.63141,-115.56357,12.13374,4.87651,3.12603,-12.55571,3.80388,-11.41683,7.42153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
33,2/2/2022,29:31.3,2,2,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Compton, Drew",1000036969,Right,GIT_YJF,Undefined,1,Bottom,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.07021,-1.128761,6.371586,2334.831421,133.579123,10:30,5.06391,-3.6463,5.80597,-19.38044,19.31359,-18.79859,2.3925,0.7371,77.4515,-4.83041,3.034196,0.447707,,,,,,,,,,,,11.48638,10.57339,3.13245,50,4.95933,-13.05713,-124.10335,-3.00195,17.70777,27.50365,-15.87373,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,d35c1280-8466-11ec-adab-7968ab2d66aa,84.19006,,,8.6187,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,29:31.3,2022-02-02T15:29:31.3340466-05:00,2022-02-02T20:29:31.3340466Z,,v3,,,,,,Undefined,GIT_YEL,8e8b4161-208e-4a97-9539-9a23c53164e7,54.68976,-125.13837,13.75182,5.06106,-2.40459,-7.93686,3.63636,-13.72351,8.85388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
34,2/2/2022,29:52.9,2,3,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Compton, Drew",1000036969,Right,GIT_YJF,Undefined,1,Bottom,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.90586,3.015985,-0.10242,2698.954122,280.857876,3:15,5.29277,-3.6746,4.80684,-60.24054,-3.00071,26.19895,3.13275,-1.58839,65.10349,-7.890207,4.504652,0.544528,,,,,,,,,,,,-12.78642,-1.78232,3.66111,50,5.5414,-0.8575,-104.0593,3.43427,-13.78918,20.14426,-34.09615,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,e02e63f0-8466-11ec-adab-7968ab2d66aa,69.22033,,,6.80237,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,29:52.9,2022-02-02T15:29:52.8669746-05:00,2022-02-02T20:29:52.8669746Z,,v3,,,,,,Undefined,GIT_YEL,2faadc85-1d23-4434-94c0-6ad08821d515,55.69234,-105.15547,10.07213,5.30404,5.28965,-17.04808,3.68735,-0.10715,-6.89459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
35,2/2/2022,30:37.3,2,4,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Parada, Kevin",691006,Right,GIT_YJF,Undefined,1,Bottom,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.1515,-1.230534,5.369293,2364.475086,132.183984,10:30,5.05103,-3.7571,5.81475,-21.73871,16.21954,-16.55048,2.09008,-0.12917,78.71951,-5.315363,2.421483,0.443429,,,,,,,,,,,,9.87812,8.97189,3.32601,50,4.93692,-11.02717,-124.62777,-3.3509,15.57348,24.48316,-18.02929,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,fa9c4a40-8466-11ec-adab-7968ab2d66aa,85.00212,,,7.43199,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,30:37.3,2022-02-02T15:30:37.2983858-05:00,2022-02-02T20:30:37.2983858Z,,v3,,,,,,Undefined,GIT_YEL,5c9b2505-e0e8-43ee-af07-a50a0f6eb652,54.68344,-125.54446,12.24158,5.04975,-2.67586,-9.01464,3.7498,-11.61027,7.78674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
36,2/2/2022,30:57.2,2,5,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Parada, Kevin",691006,Right,GIT_YJF,Undefined,1,Bottom,0,0,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.29569,-1.149657,7.131928,2419.944558,134.255509,10:30,4.9584,-3.60057,6.00723,-20.85422,16.92202,-16.11414,2.14699,1.69836,78.782,-5.083922,4.268954,0.442365,,,,,,,,,,,,10.37457,9.40886,3.04708,50,4.85606,-14.96033,-124.50604,-3.12821,16.31426,24.57864,-17.37837,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,06734bc0-8467-11ec-adab-7968ab2d66aa,85.20666,,,7.51369,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,30:57.2,2022-02-02T15:30:57.1889202-05:00,2022-02-02T20:30:57.1889202Z,,v3,,,,,,Undefined,GIT_YEL,77f57f36-84e7-44a5-873b-174ccad51b5a,54.49369,-125.39,12.28932,4.95733,-2.50321,-8.68918,3.59567,-15.54707,8.15713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
37,2/2/2022,31:34.0,2,6,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Parada, Kevin",691006,Right,GIT_YJF,Undefined,1,Bottom,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.54008,-0.50264,4.90758,1695.178794,109.781486,9:45,4.74972,-3.72299,5.80341,-33.63746,7.51205,-17.38391,1.4774,-0.59632,75.89256,-6.709672,1.805802,0.461694,,,,,,,,,,,,10.19079,4.33792,3.32987,50,4.6881,-9.591,-119.58419,-2.13981,14.83787,21.8773,-25.85798,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,1c7c7860-8467-11ec-adab-7968ab2d66aa,81.63953,,,6.64753,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,31:34.0,2022-02-02T15:31:34.0172850-05:00,2022-02-02T20:31:34.0172850Z,,v3,,,,,,Undefined,GIT_YEL,2db5c359-b2f8-47b5-9490-83b90510ea42,54.69677,-120.44038,10.93865,4.75204,-1.12784,-12.92899,3.71658,-10.17169,7.41893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
38,2/2/2022,32:27.9,2,7,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Reid, Stephen",1000051198,Right,GIT_YJF,Undefined,1,Bottom,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,72.42196,1.351078,2.380954,2929.332435,288.623677,3:30,5.2925,-3.74643,4.98489,-61.84358,-5.88548,23.09702,1.41604,0.42795,66.21057,-9.790725,6.452287,0.538397,,,,,,,,,,,,-10.66756,-2.79457,3.49715,50,5.37255,-5.24482,-104.89933,0.41034,-11.69587,20.39853,-35.23799,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,3ca69210-8467-11ec-adab-7968ab2d66aa,70.0086,,,6.21139,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,32:27.9,2022-02-02T15:32:27.8906930-05:00,2022-02-02T20:32:27.8906930Z,,v3,,,,,,Undefined,GIT_YEL,a5ab594a-01cd-471f-949e-58a4a3cdab7f,55.51583,-105.9665,10.19927,5.30286,2.25386,-17.619,3.75553,-4.63294,-5.84794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
39,2/2/2022,32:47.4,2,8,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Reid, Stephen",1000051198,Right,GIT_YJF,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.21851,-0.205036,5.275189,2399.07683,143.061484,10:45,5.13943,-3.55392,6.11216,-19.5004,18.77737,-13.2191,3.32401,0.23591,77.90067,-3.913466,2.908808,0.445292,71.00119,45.896808,158.571847,4145.564567,,,,,,,,8.27012,10.11827,3.15518,50,5.11336,-10.88287,-123.39917,-0.97538,12.79279,23.81824,-16.52239,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,48200a40-8467-11ec-adab-7968ab2d66aa,84.64662,46.28541,,7.31783,,,,1.47667,3.30503,-0.24037,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,32:47.4,2022-02-02T15:32:47.3639474-05:00,2022-02-02T20:32:47.3639474Z,,v3,,,,,,Undefined,GIT_YEL,074bda57-d8d5-41e5-8ce5-ddb6a511e839,54.38682,-124.24302,11.90912,5.13755,-0.39001,-8.26119,3.54877,-11.3361,6.39639,345.538931,1.47666,-67.46323,1.75676,0.91871,-0.18671,-0.82674,1.90872,-1.7406,0.58261,3.30503,74.77807,-31.63155,4.37657,-0.49925,-1.52098,3.10798,-2.66067,0.85615,-0.24038,26.47704,-4.19751,1.96836,-0.22813,-1.33814,2.87922,-2.557,0.84278,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
40,2/2/2022,33:16.5,2,9,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Reid, Stephen",1000051198,Right,GIT_YJF,Undefined,1,Bottom,0,0,2,Fastball,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.82379,1.112702,5.67825,2306.635169,119.122063,10:00,4.95363,-3.67457,6.1796,-27.48891,9.83382,-15.77879,3.69561,0.27135,79.16723,-4.007836,2.852536,0.439702,,,,,,,,,,,,9.48737,5.15528,3.25205,50,5.02397,-11.74382,-124.3093,1.57864,15.05786,21.57748,-23.99184,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,59660980-8467-11ec-adab-7968ab2d66aa,85.72274,,,6.65655,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,33:16.5,2022-02-02T15:33:16.4637746-05:00,2022-02-02T20:33:16.4637746Z,,v3,,,,,,Undefined,GIT_YEL,1608c58d-57cc-4ea8-9a67-7595279ef569,54.32028,-125.05696,10.78874,4.95487,2.40995,-11.99592,3.66801,-12.26558,7.52893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
41,2/2/2022,34:02.1,3,1,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Jackson, Jadyn",1000050955,Right,GIT_YJF,Undefined,1,Bottom,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.44747,-0.852023,6.299192,1667.228123,109.42723,9:45,4.94095,-3.66046,5.7546,-35.40049,6.9243,-16.11501,1.19292,0.88409,75.29579,-7.344093,3.437773,0.46824,,,,,,,,,,,,9.74973,4.1287,3.14587,50,4.84817,-12.37181,-117.75687,-2.91012,13.8474,19.95357,-26.31011,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,74ae7150-8467-11ec-adab-7968ab2d66aa,80.49805,,,6.15168,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,34:02.1,2022-02-02T15:34:02.0560000-05:00,2022-02-02T20:34:02.0560000Z,,v3,,,,,,Undefined,GIT_YEL,e1209785-4a79-4406-93d2-201fef9491c8,54.74547,-118.55825,9.97679,4.94383,-1.85344,-13.15506,3.65392,-12.92795,6.9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.16809,2.851014,1.547059,1.303955,-0.74981,0.90767,-1.01202,1.18105,6.32446,1.32645,127.27801,0.54904,5.50003,1.33926,108.07878,-8.8782,6.34241,10.37834,-11.37531,1.31004,2.33409,0.68049,High,High,High,,,High,High,High
42,2/2/2022,34:38.5,3,2,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Jackson, Jadyn",1000050955,Right,GIT_YJF,Undefined,1,Bottom,1,1,0,Fastball,Changeup,FoulBall,Undefined,Undefined,Undefined,0,0,,85.14835,1.617391,5.763153,2282.159082,128.138898,10:15,5.10286,-3.57805,6.26742,-25.18576,12.80245,-14.89194,4.50312,0.51211,78.12216,-3.110653,3.093679,0.443604,45.99557,2.646851,153.07017,1566.938492,,,,33.63226,,154.080038,0.520818,9.20591,6.57611,3.1574,50,5.21067,-11.87737,-123.25063,2.76724,14.29003,22.40467,-21.96621,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,8a595150-8467-11ec-adab-7968ab2d66aa,84.96857,4.49521,,7.02619,,,,0.83655,4.39056,-0.60782,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,34:38.5,2022-02-02T15:34:38.5118770-05:00,2022-02-02T20:34:38.5118770Z,GroundBall,v3,,,,,,Undefined,GIT_YEL,19ae6ff9-57df-49ac-89de-25aff8af641d,54.23243,-124.01762,11.20234,5.10307,3.51922,-10.9831,3.57239,-12.36657,7.14501,349.141229,0.83655,-60.08065,0.98364,-0.49252,0.12622,-0.03055,0.01139,-0.00918,0.00395,4.39056,3.1153,-23.25005,2.30124,-0.46392,0.07108,-0.00948,0.00336,-0.00046,-0.60782,30.52,-1.86356,-0.67431,0.23111,-0.07313,0.00946,-0.00088,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
43,2/2/2022,35:02.2,3,3,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Jackson, Jadyn",1000050955,Right,GIT_YJF,Undefined,1,Bottom,1,1,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,70.56783,2.397927,1.093716,2779.849614,284.410989,3:30,5.27924,-3.57036,5.12313,-62.74263,-3.6639,22.7619,2.311,-0.64325,63.75947,-9.016589,5.119942,0.553206,36.13789,17.111037,58.630784,3118.349613,,,,55.49889,,57.991852,1.13738,-11.00024,-2.10646,3.44879,50,5.45603,-2.7841,-102.14791,2.29622,-11.34156,20.61704,-34.34587,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,98a1a0f0-8467-11ec-adab-7968ab2d66aa,68.13453,6.2501,,6.80836,,,,2.42495,2.43312,0.70518,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,35:02.2,2022-02-02T15:35:02.2382642-05:00,2022-02-02T20:35:02.2382642Z,GroundBall,v3,,,,,,Undefined,GIT_YEL,641064f1-2900-4bd4-b8fe-929e4f9fa6ba,55.37647,-103.22736,10.30852,5.28873,4.09449,-17.17293,3.57901,-2.19029,-5.67078,230.84762,2.42495,26.36914,-2.39158,-0.09699,0.42661,-0.61096,0.55195,-0.27018,0.05487,2.43312,15.59455,-16.19593,0.60987,-0.07618,0.02835,-0.03509,0.01848,-0.00383,0.70518,43.25177,-2.31676,0.03075,0.27104,-0.44629,0.41048,-0.2004,0.04057,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
44,2/2/2022,35:51.6,3,4,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,85.71985,-0.333552,5.832968,2338.135077,136.334693,10:30,5.13989,-3.63534,6.37936,-22.63848,14.73328,-12.9895,2.94489,0.66694,78.7067,-4.607768,3.49929,0.43999,81.03246,58.4815,-52.896684,6422.319644,,,,,,,,8.32756,8.12122,3.21972,50,5.10506,-12.19923,-124.11082,-1.35662,13.07847,23.23847,-19.41964,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,b5fd0a40-8467-11ec-adab-7968ab2d66aa,85.66653,104.96493,,7.01315,,,,1.426,2.5759,-0.48502,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,35:51.6,2022-02-02T15:35:51.5964466-05:00,2022-02-02T20:35:51.5964466Z,,v3,,,,,,Undefined,GIT_YEL,b845753d-e05a-4cb5-b4c5-167a6d4f5cd8,54.12061,-124.87998,11.61924,5.13932,-0.71386,-9.70982,3.63066,-12.6321,6.53923,,1.426,37.48034,-18.41465,5.55759,-1.39372,0.29924,-0.04746,0.00277,0.00022,2.5759,101.31404,-29.30538,3.48683,-0.42235,-0.01969,0.0327,-0.01081,0.00145,-0.48502,-49.55194,10.66399,-5.00222,1.62746,-0.44945,0.10346,-0.01645,0.0013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
45,2/2/2022,36:22.8,3,5,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,1,0,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,72.93347,1.936864,2.507138,2597.29252,279.991964,3:15,5.42179,-3.65941,5.00112,-57.23787,-1.93736,21.92745,2.48285,0.53618,66.29074,-8.430382,6.368057,0.535224,57.35095,40.386353,-138.793279,4463.40931,,,,,,,,-10.10823,-1.1124,3.39944,50,5.56175,-5.45478,-105.55709,1.68405,-11.20008,20.97706,-33.40662,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,c88b19e0-8467-11ec-adab-7968ab2d66aa,70.42362,31.47757,,6.64273,,,,1.95128,2.45498,-0.34712,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,36:22.8,2022-02-02T15:36:22.7689010-05:00,2022-02-02T20:36:22.7689010Z,,v3,,,,,,Undefined,GIT_YEL,9b3a1874-9fad-47b5-bcc7-78d6c2d3940b,55.49871,-106.64424,10.48853,5.42961,3.41536,-16.70331,3.66709,-4.87433,-5.60004,23.469517,1.95128,-48.20206,0.31364,0.68584,0.20074,-1.13544,1.86161,-1.45393,0.44443,2.45498,54.5007,-25.29063,2.54327,0.24311,-2.21272,3.5558,-2.72676,0.82082,-0.34712,-42.20756,4.11973,0.04885,0.00616,-0.17778,0.35374,-0.29862,0.09663,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
46,2/2/2022,36:52.7,3,6,"Mannelly, Joseph",1000025158,Left,GIT_YEL,"Gonzalez, Tres",1000050552,Left,GIT_YJF,Undefined,1,Bottom,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.44911,-1.763629,7.495574,2309.8509,131.791688,10:30,4.96027,-3.60311,6.18844,-24.69316,12.82198,-12.97953,1.25961,2.27566,79.02369,-6.384062,5.184946,0.440834,,,,,,,,,,,,8.71768,7.48941,3.04109,50,4.81365,-15.86781,-124.55051,-4.60368,13.71877,24.59271,-20.3882,GIT_YJF,GIT_YEL,GeorgiaTech,TeamExclusive,Team,20220202-GeorgiaTech-Private-1,da3e59e0-8467-11ec-adab-7968ab2d66aa,85.50266,,,7.42542,,,,,,,82b7e6d5-c1e4-46d1-b16f-4d61cc35d98b,2/2/2022,36:52.7,2022-02-02T15:36:52.6552114-05:00,2022-02-02T20:36:52.6552114Z,,v3,,,,,,Undefined,GIT_YEL,ce558a3d-7450-4a98-9b0b-2c2edd2cad39,54.30875,-125.39839,12.29636,4.96025,-3.90075,-10.1941,3.59632,-16.34079,6.85938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
